Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,Runtime exp (reg),Runtime exp (sparse),10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
Maximum Flow,Y,1,,,2.06,3,46992,2154,13060000,100000,3745000000,4641000,1094000000000,215400000,324000000000000,10000000000,1,1,1,1,1,1,1,1,1,1,1,1
Maximum Flow,Y,2,,,1.68,2.756,168321,2595,195900000,165975,274900000000,11120000,426600000000000,764600000,705100000000000000,53420000000,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Maximum Flow,Y,3,,,1.77,2.77,11449,453,8466000,24769,8848000000,1634000,11080000000000,119300000,15500000000000000,9269000000,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Maximum Flow,Y,4,,,1.85,3.35,905,61,374993,1302,286700000,36652,294900000000,1184000,359200000000000,41480000,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Maximum Flow,Y,5,,,1.803,3.136,282,40,94821,869,89360000,28608,141800000000,1181000,303800000000000,55830000,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Maximum Flow,Y,6,,,1.803,2.803,147,37,40449,1096,34540000,55796,52030000000,3789000,107900000000000,304100000,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Graph Coloring,Y,1,,,big,big,21,21,35,35,51,51,66,66,82,82,1,1,1,1,1,1,1,1,1,1,1,1
Graph Coloring,Y,2,,,big,big,28,28,42,42,56,56,71,71,85,85,1,1,1,1,1,1,1,1,1,1,1,1
Graph Coloring,Y,3,,,big,big,115,115,173,173,230,230,288,288,346,346,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Graph Coloring,Y,4,,,2,2,100000,100000,31620000,31620000,10000000000,10000000000,3162000000000,3162000000000,1000000000000000,1000000000000000,O(n/log n),7.98,8686,8686,1831000,1831000,434300000,434300000,109900000000,109900000000,28960000000000,28960000000000
Graph Coloring,Y,5,,,2.09,3.09,31091,1124,7933000,45349,2157000000,1905000,607000000000,81870000,174600000000000,3569000000,O(n((log log n)/(log n))^2),7.975,1587,86.6,240391,2220,43950000,65018,8984000000,2078000,1978000000000,70470000
