,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
0,Maximum Flow,Y,1.0,,,46992.0,2154.0,13060000.0,100000.0,3745000000.0,4641000.0,1094000000000.0,215400000.0,324000000000000.0,10000000000.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Maximum Flow,Y,2.0,,,168321.0,2595.0,195900000.0,165975.0,274900000000.0,11120000.0,426600000000000.0,764600000.0,7.051e+17,53420000000.0,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
2,Maximum Flow,Y,3.0,,,11449.0,453.0,8466000.0,24769.0,8848000000.0,1634000.0,11080000000000.0,119300000.0,1.55e+16,9269000000.0,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
3,Maximum Flow,Y,4.0,,,905.0,61.0,374993.0,1302.0,286700000.0,36652.0,294900000000.0,1184000.0,359200000000000.0,41480000.0,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
4,Maximum Flow,Y,5.0,,,282.0,40.0,94821.0,869.0,89360000.0,28608.0,141800000000.0,1181000.0,303800000000000.0,55830000.0,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
5,Maximum Flow,Y,6.0,,,147.0,37.0,40449.0,1096.0,34540000.0,55796.0,52030000000.0,3789000.0,107900000000000.0,304100000.0,1-eps,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
6,Graph Coloring,Y,1.0,,,21.0,21.0,35.0,35.0,51.0,51.0,66.0,66.0,82.0,82.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Graph Coloring,Y,2.0,,,28.0,28.0,42.0,42.0,56.0,56.0,71.0,71.0,85.0,85.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Graph Coloring,Y,3.0,,,115.0,115.0,173.0,173.0,230.0,230.0,288.0,288.0,346.0,346.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
9,Graph Coloring,Y,4.0,,,100000.0,100000.0,31620000.0,31620000.0,10000000000.0,10000000000.0,3162000000000.0,3162000000000.0,1000000000000000.0,1000000000000000.0,O(n/log n),7.98,8686.0,8686.0,1831000.0,1831000.0,434300000.0,434300000.0,109900000000.0,109900000000.0,28960000000000.0,28960000000000.0
